condition,target,horizon,benchmark,n_triggers,n_baseline_days,trigger_rate_pct,effective_independent_n,mean_return_pct,baseline_return_pct,lift_pct,hit_rate_pct,baseline_hit_rate_pct,mean_tradable_pct,t_stat,p_value,below_inference_floor,min_detectable_effect_pct,underpowered,note,in_sample_lift_pct,oos_lift_pct,oos_n_triggers,sign_held_oos,family,family_size,family_untestable_rows,alpha,bonferroni_threshold,survives_bonferroni,survives_bh_fdr,expected_false_positives_at_alpha,n_nominally_significant,family_max_abs_t,family_null_p,family_null_max_abs_t_p95,generated_at
dow=Fri,XLU,1,SPY,110,553,19.89150090415913,110,-0.2602777250450634,-0.016904061540433335,-0.24337366350463,41.81818181818181,48.64376130198915,-0.252983109695305,-2.2379954043045744,0.027254293353688397,False,0.30448956977403346,False,,-0.19680578515015104,-0.31813753196906797,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338846+00:00
dow=Mon,XLV,1,SPY,107,553,19.349005424954793,107,-0.014753034817625998,-0.037444207131545046,0.02269117231391902,48.598130841121495,47.19710669077758,-0.027570950976322634,0.20792338107874733,0.8356877589549676,False,0.30557064890605246,False,,-0.04968545256251976,0.1299821290843539,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338854+00:00
dow=Tue,XLV,1,SPY,115,553,20.795660036166364,115,-0.04751879735725155,-0.037444207131545046,-0.010074590225706538,51.30434782608696,47.19710669077758,0.07494437744334824,-0.09093207600175002,0.9277061465819074,False,0.310218944428756,False,,-0.09871621841750738,0.1228174245962243,46,False,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338860+00:00
dow=Wed,XLV,1,SPY,113,553,20.43399638336347,113,-0.02894988711071364,-0.037444207131545046,0.008494320020831364,46.017699115044245,47.19710669077758,0.08923403793605457,0.07463200547081192,0.9406406451360699,False,0.3186849382954023,False,,-0.02628265728913432,0.05772388385998866,46,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338867+00:00
dow=Thu,XLV,1,SPY,108,553,19.529837251356238,108,0.04804110253006243,-0.037444207131545046,0.08548530966160746,50.0,47.19710669077758,0.0035056543974746296,0.8982845695312132,0.3710507728857899,False,0.26646218266602845,False,,0.16071755936934326,-0.02794632154992039,43,False,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338875+00:00
dow=Fri,XLV,1,SPY,110,553,19.89150090415913,110,-0.14164101774464183,-0.037444207131545046,-0.10419681061309678,40.0,47.19710669077758,-0.029861732535627624,-1.1510439937408883,0.2522328728045595,False,0.253466480258918,False,,0.019486339017521677,-0.29517302123177785,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338881+00:00
dow=Mon,XLY,1,SPY,106,550,19.272727272727273,106,-0.006578711034834425,-0.019636249425137784,0.013057538390303375,45.28301886792453,46.36363636363636,0.020648475689484497,0.20695512782215894,0.8364457144957506,False,0.17666200338977445,False,,0.009622226307153977,0.01892763282033455,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338891+00:00
dow=Tue,XLY,1,SPY,114,550,20.727272727272727,114,-0.0529849817106643,-0.019636249425137784,-0.03334873228552649,42.10526315789473,46.36363636363636,-0.07650358501370969,-0.488147730540469,0.6263910891777629,False,0.19128727751348826,False,,-0.12103455449879812,0.09664402007019594,46,False,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338901+00:00
dow=Wed,XLY,1,SPY,112,550,20.363636363636363,112,-0.13549774519971444,-0.019636249425137784,-0.11586149577457665,46.42857142857143,46.36363636363636,-0.08070885870665734,-1.4910909375479897,0.13877404483290334,False,0.21756700413074143,False,,-0.06485286544389669,-0.18713375897509757,46,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338909+00:00
dow=Thu,XLY,1,SPY,108,550,19.636363636363637,108,0.09979452923391428,-0.019636249425137784,0.11943077865905205,54.629629629629626,46.36363636363636,0.11026019092767397,1.534297714628561,0.1279080581751767,False,0.2179539062445272,False,,0.08216142930099,0.17495362309595466,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338918+00:00
dow=Fri,XLY,1,SPY,110,550,20.0,110,0.003051203690797033,-0.019636249425137784,0.02268745311593484,43.63636363636363,46.36363636363636,-0.02122373276273111,0.32594887951569795,0.7450879700231553,False,0.19489212179223997,False,,0.09796933825821509,-0.09707827941337098,43,False,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338925+00:00
